trial,lr,batch,epochs,fedprox,mean_val_loss,mean_val_acc
1,0.0001,32,1,0.0,1.6172472476959228,0.1739130434782609
2,0.0005,64,2,0.0,1.5899431943893432,0.20434782608695654
3,0.001,64,2,0.001,1.5386479854583741,0.6
4,0.001,128,4,0.0,1.43961923122406,0.5869565217391304
5,0.002,128,4,0.001,1.2026798009872437,0.5869565217391304
