trial,lr,batch,epochs,fedprox,mean_val_loss,mean_val_acc
1,0.0001,32,1,0.0,0.9801625814512022,0.6556937378994646
2,0.0005,64,2,0.0,0.7506056168919094,0.7263240239228075
3,0.001,64,2,0.001,0.694084172240169,0.7530539203774975
4,0.001,128,4,0.0,0.8151658305444975,0.691077858861707
5,0.002,128,4,0.001,0.7716839179225001,0.7321637912789922
