round,acc_0,acc_1,acc_2,acc_3,acc_4
1,0.9626,0.5967,0.4682,0.0000,0.4661
2,0.9524,0.5921,0.6917,0.1049,0.6114
3,0.9513,0.6276,0.6497,0.2500,0.6550
4,0.9639,0.5217,0.5921,0.3488,0.7025
