round,mean_un,std_un,mean_fr,std_fr
1,0.7387,0.013859292911256375,0.7387,0.013859292911256375
2,0.7308,0.03052266917118051,0.7375,0.024020407989873937
3,0.7317,0.02941530214021267,0.734425,0.04065778933160696
4,0.757325,0.013839165437265386,0.768925,0.008504655587774674
5,0.755775,0.008746570756587942,0.760675,0.01155288564241276
6,0.7726,0.013834016047410039,0.7741,0.009839715443040012
7,0.73995,0.072724159213657,0.745425,0.05700692209430943
8,0.727425,0.10668353121889686,0.732925,0.09908825611544494
9,0.76465,0.026234900419098227,0.765575,0.028817746268575563
10,0.7683,0.0582495207419483,0.7686,0.05419145074025359
11,0.761575,0.021923256297061936,0.764325,0.015859250717903863
12,0.748775,0.019528504807076255,0.751525,0.029182914522028168
13,0.7505999999999999,0.03209807886255291,0.7509250000000001,0.03378800329505525
14,0.772875,0.023065179383651005,0.765575,0.028477052164857283
15,0.7799,0.01859659467035112,0.77685,0.03451497259644481
