trial,lr,batch,epochs,fedprox,mean_val_loss,mean_val_acc
1,0.0001,32,1,0.0,1.408278140578037,0.5454282457834181
2,0.0005,64,2,0.0,1.201652871431989,0.5697267020560957
3,0.001,64,2,0.001,1.148383374402736,0.5726315165752884
4,0.001,128,4,0.0,1.1239528329477204,0.5758022746363753
5,0.002,128,4,0.001,1.0412939479804666,0.62360728190364
