trial,lr,batch,epochs,fedprox,mean_val_loss,mean_val_acc
1,0.0001,32,1,0.0,1.5549530206007116,0.5829411764705883
2,0.0005,64,2,0.0,1.20125495966743,0.5829411764705883
3,0.001,64,2,0.001,1.180559812714072,0.5858823529411765
4,0.001,128,4,0.0,1.1714674057680017,0.5841176470588236
5,0.002,128,4,0.001,1.1232666411119347,0.601764705882353
