trial,lr,batch,epochs,fedprox,mean_val_loss,mean_val_acc
1,0.0001,32,1,0.0,1.2413524353861032,0.5592123972189345
2,0.0005,64,2,0.0,1.1429373419838273,0.5845279321507795
3,0.001,64,2,0.001,1.0636804738625905,0.6174544000877902
4,0.001,128,4,0.0,1.0051323355310675,0.6309044733768625
5,0.002,128,4,0.001,0.8941973781648486,0.6778170046324965
