trial,lr,batch,epochs,fedprox,mean_val_loss,mean_val_acc
1,0.0001,32,1,0.0,1.5918646097183227,0.3739130434782609
2,0.0005,64,2,0.0,1.5374325037002563,0.5826086956521739
3,0.001,64,2,0.001,1.5187586069107055,0.5782608695652175
4,0.001,128,4,0.0,1.4714544057846068,0.5782608695652175
5,0.002,128,4,0.001,1.2359778881072998,0.5782608695652175
