trial,lr,batch,epochs,fedprox,mean_val_loss,mean_val_acc
1,0.0001,32,1,0.0,1.5943333864212037,0.3739130434782609
2,0.0005,64,2,0.0,1.5742018461227416,0.3
3,0.001,64,2,0.001,1.526827096939087,0.5913043478260869
4,0.001,128,4,0.0,1.4663226842880248,0.5826086956521739
5,0.002,128,4,0.001,1.204860234260559,0.5956521739130435
