trial,lr,batch,epochs,fedprox,mean_val_loss,mean_val_acc
1,0.0001,32,1,0.0,0.9917015734722204,0.6362179703238044
2,0.0005,64,2,0.0,0.7468086697302188,0.7403052274312769
3,0.001,64,2,0.001,0.7342384414451135,0.7438469316569601
4,0.001,128,4,0.0,0.7679163232048289,0.7323432907185465
5,0.002,128,4,0.001,0.7903247349507445,0.7190709924202638
