trial,lr,batch,epochs,fedprox,mean_val_loss,mean_val_acc
1,0.0001,32,1,0.0,1.3376526184643016,0.5947058823529412
2,0.0005,64,2,0.0,0.9321048083024867,0.6641176470588236
3,0.001,64,2,0.001,0.8860997961549198,0.6888235294117647
4,0.001,128,4,0.0,0.8417378212423886,0.6976470588235294
5,0.002,128,4,0.001,0.934472547418931,0.6735294117647058
