lead,kept,sumF_all,cnt_all,cnt_selected,threshold,K_exact
1,0,389.2712536180462,7,0,300.0,6
2,1,484.50062328872536,7,0,300.0,6
3,0,475.54822241299416,7,1,300.0,6
4,0,1487.5725193293363,7,2,300.0,6
5,1,1529.830270529666,7,2,300.0,6
6,0,957.605707093846,7,0,300.0,6
7,1,1200.6839901336864,7,0,300.0,6
8,1,1293.9278237773883,7,1,300.0,6
9,0,1021.8823143805605,7,0,300.0,6
10,0,1021.3167445695983,7,0,300.0,6
11,1,1117.8665759609216,7,0,300.0,6
12,1,1085.4880254054722,7,0,300.0,6
