client_id,round,accuracy,loss,frozen_layers,is_frozen,wall_time_sec,trainable_params,phase
3,4,0.7051,0.7882,0,0,1.81,159333,no_cv
2,4,0.7655,0.6573,0,0,12.25,159333,no_cv
1,4,0.7713,0.6475,0,0,28.66,159333,no_cv
0,4,0.6838,0.8777,0,0,44.23,159333,no_cv
GLOBAL,4,0.7973,0.5975,,,,,no_cv
3,5,0.7183,0.7627,0,0,1.61,159333,no_cv
2,5,0.7577,0.6900,0,0,11.90,159333,no_cv
1,5,0.7671,0.6792,0,0,29.61,159333,no_cv
0,5,0.7491,0.6950,0,0,45.11,159333,no_cv
GLOBAL,5,0.7933,0.5805,,,,,no_cv
3,6,0.7474,0.7611,0,0,1.75,159333,no_cv
2,6,0.7758,0.6599,0,0,11.66,159333,no_cv
1,6,0.7610,0.7475,0,0,28.98,159333,no_cv
0,6,0.7602,0.7118,0,0,44.58,159333,no_cv
GLOBAL,6,0.7818,0.6472,,,,,no_cv
3,7,0.7400,0.7789,0,0,1.91,159333,no_cv
2,7,0.7211,0.7788,0,0,12.49,159333,no_cv
1,7,0.7791,0.6397,0,0,29.43,159333,no_cv
0,7,0.7462,0.6917,0,0,44.53,159333,no_cv
GLOBAL,7,0.8047,0.5569,,,,,no_cv
3,8,0.7199,0.8575,0,0,1.58,159333,no_cv
2,8,0.7725,0.6319,0,0,12.26,159333,no_cv
1,8,0.7548,0.6797,0,0,29.82,159333,no_cv
0,8,0.6554,0.8778,0,0,44.73,159333,no_cv
GLOBAL,8,0.7887,0.5954,,,,,no_cv
3,9,0.7429,0.7889,0,0,1.62,159333,no_cv
2,9,0.7786,0.6441,0,0,12.11,159333,no_cv
1,9,0.7778,0.6525,0,0,29.41,159333,no_cv
0,9,0.7606,0.6761,0,0,45.52,159333,no_cv
GLOBAL,9,0.8055,0.5609,,,,,no_cv
3,10,0.7651,0.7573,0,0,1.77,159333,no_cv
2,10,0.7749,0.6830,0,0,11.59,159333,no_cv
1,10,0.7318,0.8038,0,0,29.76,159333,no_cv
0,10,0.7667,0.6788,0,0,44.26,159333,no_cv
GLOBAL,10,0.7978,0.5647,,,,,no_cv
3,11,0.7491,0.7898,0,0,1.85,159333,no_cv
2,11,0.7179,0.7864,0,0,12.49,159333,no_cv
1,11,0.7487,0.7103,0,0,36.95,159333,no_cv
0,11,0.7532,0.6755,0,0,54.33,159333,no_cv
GLOBAL,11,0.8064,0.5413,,,,,no_cv
3,12,0.7676,0.7571,0,0,1.70,159333,no_cv
2,12,0.7828,0.6052,0,0,11.32,159333,no_cv
1,12,0.6542,1.0642,0,0,29.79,159333,no_cv
0,12,0.7676,0.7671,0,0,44.71,159333,no_cv
GLOBAL,12,0.8073,0.5936,,,,,no_cv
3,13,0.7548,0.7987,0,0,1.87,159333,no_cv
2,13,0.7823,0.6506,0,0,12.74,159333,no_cv
1,13,0.7791,0.7280,0,0,36.29,159333,no_cv
0,13,0.7795,0.7345,0,0,50.33,159333,no_cv
GLOBAL,13,0.7931,0.6589,,,,,no_cv
3,14,0.7322,0.8712,0,0,1.57,159333,no_cv
2,14,0.7836,0.6222,0,0,11.67,159333,no_cv
1,14,0.7782,0.6343,0,0,30.33,159333,no_cv
0,14,0.7885,0.6777,0,0,48.57,159333,no_cv
GLOBAL,14,0.8034,0.5700,,,,,no_cv
3,15,0.7380,0.8738,0,0,1.67,159333,no_cv
2,15,0.7786,0.6723,0,0,11.49,159333,no_cv
1,15,0.7791,0.6288,0,0,30.45,159333,no_cv
0,15,0.7347,0.7715,0,0,47.51,159333,no_cv
GLOBAL,15,0.8154,0.5406,,,,,no_cv
