client_id,round,accuracy,loss,frozen_layers,is_frozen,wall_time_sec,trainable_params,phase
1,5,0.6324,1.0022,0,0,191.37,164421,default
0,5,0.5700,1.1279,0,0,228.86,164421,default
GLOBAL,5,0.6372,0.9611,,,,,default
3,6,0.6136,1.0154,0,0,6.62,164421,default
2,6,0.6341,1.0035,0,0,81.12,164421,default
1,6,0.6324,0.9952,0,0,185.82,164421,default
0,6,0.6357,0.9835,0,0,224.84,164421,default
GLOBAL,6,0.6311,0.9488,,,,,default
3,7,0.6057,1.0275,0,0,5.91,164421,default
2,7,0.6444,0.9558,0,0,72.05,164421,default
1,7,0.6575,0.9191,0,0,179.83,164421,default
0,7,0.6550,0.9803,0,0,224.27,164421,default
GLOBAL,7,0.6694,0.8871,,,,,default
3,8,0.6464,0.9296,0,0,6.48,164421,default
2,8,0.6772,0.9560,0,0,85.04,164421,default
1,8,0.6899,0.8830,0,0,186.49,164421,default
0,8,0.6801,0.9099,0,0,222.39,164421,default
GLOBAL,8,0.6908,0.8505,,,,,default
3,9,0.6928,0.8782,0,0,5.28,164421,default
2,9,0.6961,0.8592,0,0,73.26,164421,default
1,9,0.6756,0.8789,0,0,177.90,164421,default
0,9,0.7002,0.8487,0,0,215.90,164421,default
GLOBAL,9,0.7184,0.7854,,,,,default
3,10,0.6990,0.8627,0,0,5.26,164421,default
2,10,0.6973,0.8794,0,0,83.12,164421,default
1,10,0.7244,0.8056,0,0,196.62,164421,default
0,10,0.7179,0.7977,0,0,232.71,164421,default
GLOBAL,10,0.7252,0.7624,,,,,default
3,11,0.7203,0.8113,0,0,5.59,164421,default
2,11,0.7109,0.8134,0,0,75.42,164421,default
1,11,0.7290,0.7745,0,0,177.32,164421,default
0,11,0.7240,0.7679,0,0,213.61,164421,default
GLOBAL,11,0.7418,0.7341,,,,,default
3,12,0.7273,0.7920,0,0,6.25,164421,default
2,12,0.7224,0.7728,0,0,79.07,164421,default
1,12,0.7322,0.7499,0,0,196.95,164421,default
0,12,0.7347,0.7475,0,0,237.44,164421,default
GLOBAL,12,0.7469,0.7184,,,,,default
3,13,0.7244,0.8138,0,0,6.33,164421,default
2,13,0.7335,0.7576,0,0,74.15,164421,default
1,13,0.7400,0.7238,0,0,190.92,164421,default
0,13,0.7503,0.7235,0,0,229.70,164421,default
GLOBAL,13,0.7557,0.6898,,,,,default
3,14,0.7232,0.7683,0,0,6.48,164421,default
2,14,0.7483,0.7180,0,0,86.73,164421,default
1,14,0.7376,0.7758,0,0,198.35,164421,default
0,14,0.7421,0.7234,0,0,239.56,164421,default
GLOBAL,14,0.7562,0.6802,,,,,default
3,15,0.7470,0.7495,0,0,5.28,164421,default
2,15,0.7540,0.7120,0,0,79.49,164421,default
1,15,0.7392,0.7325,0,0,188.18,164421,default
0,15,0.7413,0.7189,0,0,222.81,164421,default
GLOBAL,15,0.7582,0.6640,,,,,default
