client_id,round,accuracy,loss,frozen_layers,is_frozen,wall_time_sec,trainable_params,phase
0,4,0.7688,0.6703,0,0,41.39,159333,no_cv
GLOBAL,4,0.7926,0.5952,,,,,no_cv
3,5,0.7737,0.6936,9,1,1.48,115301,no_cv
2,5,0.7671,0.7868,0,0,10.57,159333,no_cv
1,5,0.7314,0.7380,0,0,26.03,159333,no_cv
0,5,0.7577,0.6679,0,0,40.24,159333,no_cv
GLOBAL,5,0.7932,0.6121,,,,,no_cv
3,6,0.7778,0.6563,8,1,1.46,146117,no_cv
2,6,0.6809,0.9233,1,1,10.69,156613,no_cv
1,6,0.7770,0.6107,1,1,26.28,156613,no_cv
0,6,0.7618,0.6596,1,1,39.76,156613,no_cv
GLOBAL,6,0.8050,0.5638,,,,,no_cv
3,7,0.7565,0.6558,5,1,1.41,146245,no_cv
2,7,0.7762,0.6358,0,0,10.98,159333,no_cv
1,7,0.7290,0.7596,0,0,25.63,159333,no_cv
0,7,0.7544,0.7579,0,0,39.98,159333,no_cv
GLOBAL,7,0.7901,0.6218,,,,,no_cv
3,8,0.7376,0.8148,4,1,1.59,156549,no_cv
2,8,0.7630,0.6922,1,1,10.93,156613,no_cv
1,8,0.7191,0.7760,1,1,25.98,156613,no_cv
0,8,0.6953,0.8207,1,1,40.26,156613,no_cv
GLOBAL,8,0.8052,0.5597,,,,,no_cv
3,9,0.7228,0.8964,1,1,1.47,156613,no_cv
2,9,0.7659,0.6711,0,0,11.12,159333,no_cv
1,9,0.7749,0.6847,0,0,26.25,159333,no_cv
0,9,0.7704,0.6773,0,0,40.40,159333,no_cv
GLOBAL,9,0.8051,0.5958,,,,,no_cv
3,10,0.7487,0.7690,1,1,1.48,156613,no_cv
2,10,0.7713,0.6469,1,1,10.17,156613,no_cv
1,10,0.7614,0.8184,1,1,25.54,156613,no_cv
0,10,0.7717,0.6988,1,1,38.72,156613,no_cv
GLOBAL,10,0.8081,0.5890,,,,,no_cv
3,11,0.7380,0.7532,1,1,1.53,156613,no_cv
2,11,0.7413,0.7252,1,1,11.27,156613,no_cv
1,11,0.7540,0.8402,1,1,26.08,156613,no_cv
0,11,0.7782,0.6802,1,1,40.09,156613,no_cv
GLOBAL,11,0.8051,0.6205,,,,,no_cv
3,12,0.7561,0.8383,2,1,1.56,156549,no_cv
2,12,0.7860,0.6188,2,1,9.72,156549,no_cv
1,12,0.7848,0.6461,2,1,24.19,156549,no_cv
