client_id,round,accuracy,loss,frozen_layers,is_frozen,wall_time_sec,trainable_params,phase
1,5,0.6304,1.0098,0,0,171.21,164421,default
0,5,0.5914,1.0641,1,1,208.17,164421,default
GLOBAL,5,0.6398,0.9627,,,,,default
3,6,0.6164,1.0122,0,0,6.07,164421,default
2,6,0.6378,0.9927,0,0,77.08,164421,default
1,6,0.6242,0.9722,0,0,173.73,164421,default
0,6,0.6394,0.9574,1,1,210.75,164421,default
GLOBAL,6,0.6512,0.9218,,,,,default
3,7,0.5893,1.0522,0,0,5.56,164421,default
2,7,0.6530,0.9668,0,0,71.39,164421,default
1,7,0.6559,0.9297,0,0,168.46,164421,default
0,7,0.6579,0.9715,1,1,205.82,164421,default
GLOBAL,7,0.6671,0.8948,,,,,default
3,8,0.6559,0.9197,0,0,4.64,164421,default
2,8,0.6731,0.9253,0,0,63.02,164421,default
1,8,0.6949,0.8828,0,0,147.96,164421,default
0,8,0.6940,0.8588,0,0,182.58,164421,default
GLOBAL,8,0.6935,0.8387,,,,,default
3,9,0.6854,0.9468,0,0,5.60,164421,default
2,9,0.7076,0.8372,0,0,72.87,164421,default
1,9,0.6099,1.0197,0,0,200.73,164421,default
0,9,0.6932,0.8498,1,1,246.08,164421,default
GLOBAL,9,0.7005,0.8264,,,,,default
3,10,0.6969,0.8801,0,0,7.14,164421,default
2,10,0.7010,0.8804,0,0,73.57,164421,default
1,10,0.7216,0.7953,0,0,167.97,164421,default
0,10,0.7183,0.7886,1,1,204.54,164421,default
GLOBAL,10,0.7297,0.7610,,,,,default
3,11,0.7253,0.7998,0,0,6.25,164421,default
2,11,0.7175,0.8019,0,0,72.55,164421,default
1,11,0.7359,0.7762,0,0,177.32,164421,default
0,11,0.7380,0.7596,0,0,214.97,164421,default
GLOBAL,11,0.7466,0.7252,,,,,default
3,12,0.7232,0.7941,0,0,5.83,164421,default
2,12,0.7314,0.7655,0,0,77.32,164421,default
1,12,0.7154,0.7906,0,0,179.10,164421,default
0,12,0.7380,0.7509,0,0,216.94,164421,default
GLOBAL,12,0.7476,0.7160,,,,,default
3,13,0.7302,0.8434,0,0,6.74,164421,default
2,13,0.7400,0.7579,0,0,72.88,164421,default
1,13,0.7425,0.7234,0,0,174.93,164421,default
0,13,0.7454,0.7281,0,0,219.99,164421,default
GLOBAL,13,0.7533,0.6897,,,,,default
3,14,0.7384,0.7838,0,0,5.72,164421,default
2,14,0.7470,0.7300,0,0,77.56,164421,default
1,14,0.7495,0.7233,0,0,190.93,164421,default
0,14,0.7520,0.7244,0,0,229.42,164421,default
GLOBAL,14,0.7627,0.6786,,,,,default
3,15,0.7474,0.7381,0,0,5.60,164421,default
2,15,0.7483,0.7260,0,0,78.39,164421,default
1,15,0.7437,0.7286,0,0,174.19,164421,default
0,15,0.7433,0.7183,0,0,212.65,164421,default
GLOBAL,15,0.7575,0.6638,,,,,default
